"","Location","dt","Avg.Tem","Avg.Vol"
"185","Bulgaria",1768-05-01,13.317,2.782
"186","Bulgaria",1768-06-01,17.94,4.205
"187","Bulgaria",1768-07-01,21.177,4.118
"188","Bulgaria",1768-08-01,20.098,2.421
"189","Bulgaria",1768-09-01,16.076,4.128
"190","Bulgaria",1768-10-01,10.215,4.923
"191","Bulgaria",1768-11-01,5.656,4.379
"192","Bulgaria",1768-12-01,0.893,5.535
"193","Bulgaria",1769-01-01,0.785,4.636
"194","Bulgaria",1769-02-01,0.15,3.492
"195","Bulgaria",1769-03-01,4.165,4.895
"196","Bulgaria",1769-04-01,10.401,5.328
"197","Bulgaria",1769-05-01,15.779,6.902
"198","Bulgaria",1769-06-01,20.775,4.034
"199","Bulgaria",1769-07-01,21.379,4.861
"200","Bulgaria",1769-08-01,20.644,4.446
"201","Bulgaria",1769-09-01,17.031,2.404
"202","Bulgaria",1769-10-01,7.45,3.044
"203","Bulgaria",1769-11-01,4.875,2.358
"204","Bulgaria",1769-12-01,-0.419,3.731
"205","Bulgaria",1770-01-01,-1.087,5.664
"206","Bulgaria",1770-02-01,1.318,3.248
"207","Bulgaria",1770-03-01,1.776,3.749
"208","Bulgaria",1770-04-01,10.821,9.603
"209","Bulgaria",1770-05-01,14.291,2.505
"210","Bulgaria",1770-06-01,18.272,3.69
"211","Bulgaria",1770-07-01,19.078,6.488
"212","Bulgaria",1770-08-01,19.236,4.003
"213","Bulgaria",1770-09-01,16.966,2.891
"214","Bulgaria",1770-10-01,11.82,4.343
"215","Bulgaria",1770-11-01,7.024,5.348
"216","Bulgaria",1770-12-01,3.629,7.575
"217","Bulgaria",1771-01-01,2.28,6.126
"218","Bulgaria",1771-02-01,-2.695,3.826
"219","Bulgaria",1771-03-01,2.149,6.352
"220","Bulgaria",1771-04-01,6.976,5.895
"221","Bulgaria",1771-05-01,15.032,8.474
"222","Bulgaria",1771-06-01,19.327,3.031
"223","Bulgaria",1771-07-01,20.894,2.412
"224","Bulgaria",1771-08-01,21.197,2.845
"225","Bulgaria",1771-09-01,17.297,2.542
"226","Bulgaria",1771-10-01,12.389,2.564
"227","Bulgaria",1771-11-01,4.161,4.216
"228","Bulgaria",1771-12-01,1.911,3.443
"229","Bulgaria",1772-01-01,0.517,6.374
"230","Bulgaria",1772-02-01,1.31,7.855
"231","Bulgaria",1772-03-01,4.77,3.936
"232","Bulgaria",1772-04-01,10.827,3.845
"233","Bulgaria",1772-05-01,13.627,2.433
"234","Bulgaria",1772-06-01,19.371,4.151
"235","Bulgaria",1772-07-01,22.183,3.143
"236","Bulgaria",1772-08-01,21.349,4.045
"237","Bulgaria",1772-09-01,16.982,3.339
"238","Bulgaria",1772-10-01,12.229,2.663
"239","Bulgaria",1772-11-01,9.004,4.768
"240","Bulgaria",1772-12-01,4.215,3.385
"241","Bulgaria",1773-01-01,-1.603,3.05
"242","Bulgaria",1773-02-01,-0.35,3.142
"243","Bulgaria",1773-03-01,3.632,2.578
"244","Bulgaria",1773-04-01,10.581,3.372
"245","Bulgaria",1773-05-01,17.108,3.381
"246","Bulgaria",1773-06-01,18.23,2.434
"247","Bulgaria",1773-07-01,20.653,2.649
"248","Bulgaria",1773-08-01,20.093,2.571
"249","Bulgaria",1773-09-01,18.195,2.722
"250","Bulgaria",1773-10-01,12.641,2.614
"251","Bulgaria",1773-11-01,4.982,5.477
"252","Bulgaria",1773-12-01,4.514,4.784
"253","Bulgaria",1774-01-01,-1.675,6.675
"254","Bulgaria",1774-02-01,2.036,6.082
"255","Bulgaria",1774-03-01,5.538,3.003
"256","Bulgaria",1774-04-01,12.2,4.707
"257","Bulgaria",1774-05-01,18.269,2.524
"258","Bulgaria",1774-06-01,21.053,5.702
"259","Bulgaria",1774-07-01,23.101,5.922
"260","Bulgaria",1774-08-01,21.717,2.942
"261","Bulgaria",1774-09-01,16.553,3.043
"262","Bulgaria",1774-10-01,10.753,4.09
"263","Bulgaria",1774-11-01,2.427,5.73
"264","Bulgaria",1774-12-01,-1.31,4.688
"265","Bulgaria",1775-01-01,0.042,4.532
"266","Bulgaria",1775-02-01,3.778,4.536
"267","Bulgaria",1775-03-01,6.999,2.839
"268","Bulgaria",1775-04-01,8.545,2.282
"269","Bulgaria",1775-05-01,13.993,3.423
"270","Bulgaria",1775-06-01,19.064,4.352
"271","Bulgaria",1775-07-01,21.751,2.441
"272","Bulgaria",1775-08-01,22.442,2.251
